fdc_id,food_ description,protein (g),total_lipid_fat (g),carbohydrate_by difference (g),energy (KCAL),alcohol_ethyl (g),water (g),caffeine (mg),total_sugars (g),calcium_ca (mg),magnesium_mg (mg),phosphorus_p (mg),potassium_k (mg),sodium_na (mg),zinc_zn (mg),copper_cu (mg),"vitamin_a, rae (ug)",vitamin_d (d2 + d3) (ug),"vitamin_c, total ascorbic acid (mg)",thiamin (mg),riboflavin (mg),vitamin_b-6 (mg),vitamin_b-12 (ug),vitamin_k (phylloquinone) (ug),folic_acid (ug),"vitamin_e, added (mg)","vitamin_b-12, added (ug)",cholesterol (mg),Temperament
2706086,"Chicken, canned, meat only",25.3,8.1,0.9,185,0,64.9,0,0,0,14,19,153,153,482,2.5,0.05,53,0.1,0,0,0.1,1,2.3,0,0,0,50,0
2706108,"Turkey, light meat, breaded, baked or fried, skin eaten",26.78,6.84,6.48,200,0,59.39,0,0.56,0.4,27,32,228,241,198,1.63,0.082,9,0.4,0,0.119,0.227,0.84,1.3,7,0,0,76,1
2706112,"Turkey, dark meat, roasted, skin eaten",26.46,10.16,0.05,202,0,61.49,0,0,0,17,26,213,227,461,3.26,0.122,15,0.4,0,0.055,0.347,1.64,0,0,0,0,125,1
2706229,"Fish, canned",23.19,6.3,0,156,0,69.17,0,0,0,241,37,301,194,379,1.02,0.147,130,7.3,0.9,0.04,0.212,6.94,0.1,0,0,0,79,0
2706230,"Fish, smoked",25.23,0.96,0,116,0,71.48,0,0,0,49,54,251,415,763,0.5,0.042,24,0.8,0,0.047,0.049,1.6,0.1,0,0,0,77,0
2706291,"Fish, salmon, canned",24.62,4.21,0,136,0,70.63,0,0,0,60,24,253,326,378,0.65,0.077,20,14.1,0,0.027,0.203,4.96,0.1,0,0,0,83,0
2706300,"Fish, shark",23.27,9.58,7.79,216,0,57.62,0,0.14,0.3,46,55,236,184,346,0.55,0.053,84,0.7,0,0.134,0.111,1.42,4,13,0,0,61,1
2706311,"Fish, tuna, canned",19,0.94,0.08,85,0,79,0,0,0,18,23,137,176,219,0.66,0.048,17,1.2,0,0.03,0.082,2.57,0.2,0,0,0,36,0
2706319,"Fish, tilapia, baked or broiled",24.95,6.65,0.01,160,0,67.67,0,0.01,0,13,34,212,376,280,0.41,0.093,20,3.9,0,0.043,0.075,1.77,5.5,0,0,0,66,0
2706364,"Shrimp, fried",12.26,12.94,12.41,218,0,60.25,0,0.2,0.5,56,22,208,110,434,0.89,0.166,42,0.1,0,0.158,0.084,0.74,12.2,20,0,0,102,1
2706367,"Shrimp, canned",20.42,1.36,0,100,0,75.85,0,0,0,145,33,195,80,870,1.96,0.262,0,0,4.1,0.007,0.015,0.74,0,0,0,0,252,1
2706460,Fish curry,4.94,5.42,6.65,93,0,81.45,0,2.56,1.4,25,18,90,275,351,0.37,0.098,55,0.1,8.9,0.039,0.056,0.33,8.8,0,0,0,23,0
2706499,Meat loaf made with beef,17.48,10.72,7.2,199,0,62.76,0,1.84,0.4,64,19,169,273,416,3.82,0.069,14,0.2,0.6,0.085,0.187,1.69,1.1,7,0,0,76,1
2707158,"Egg, whole, fried with oil",11.56,15.81,0.9,192,0,70.64,0,0.19,0,45,10,171,123,228,1.16,0,168,2.3,0,0.057,0.371,0.76,6.8,0,0,0,383,1
2707357,"White beans, from canned, no added fat",10.84,0.57,30.91,168,0,55.72,0,2.07,7.2,78,75,200,516,345,0.96,0.235,0,0,1.8,0.2,0.084,0,4.4,0,0,0,0,2
2707383,"Kidney beans, from canned, no added fat",8.7,0.6,24.72,135,0,63.27,0,3.08,8,48,50,177,433,311,1.03,0.245,0,0,1.3,0.168,0.106,0,6.8,0,0,0,0,1
2707420,"Split peas, from dried, no added fat",8.29,0.39,20.97,117,0,69.08,0,2.88,8.2,14,36,98,360,233,0.99,0.18,0,0,0.4,0.179,0.053,0,5,0,0,0,0,1
2707426,"Lentils, from canned",8.36,6.84,18.66,166,0,64.54,0,1.67,7.3,18,33,167,342,325,1.18,0.233,0,0,1.3,0.149,0.064,0,8.1,0,0,0,0,2
2707435,Soybean curd,7.17,3.69,1.18,61,0,87.26,0,0.7,0.2,111,27,92,120,8,0.64,0.157,0,0,0.2,0.047,0.037,0,2,0,0,0,0,0
2707488,"Almonds, lightly salted",20.23,53.7,20.28,604,0,2.33,0,4.69,10.5,259,269,455,688,195,3.2,1.061,0,0,0,0.074,1.155,0,3,0,0,0,0,1
2707489,"Almonds, unsalted",20.33,53.96,20.38,607,0,2.34,0,4.71,10.6,260,271,457,692,3,3.21,1.066,0,0,0,0.075,1.161,0,3,0,0,0,0,1
2707500,"Coconut, fresh",3.33,33.49,15.23,354,0,46.99,0,6.23,9,14,32,113,356,20,1.1,0.435,0,0,3.3,0.066,0.02,0,0.2,0,0,0,0,1
2707502,Hazelnuts,14.95,60.75,16.7,628,0,5.31,0,4.34,9.7,114,163,290,680,0,2.45,1.725,1,0,6.3,0.643,0.113,0,14.2,0,0,0,0,1
2707514,"Peanuts, unroasted",25.8,49.24,16.13,567,0,6.5,0,4.72,8.5,92,168,376,705,18,3.27,1.144,0,0,0,0.64,0.135,0,0,0,0,0,0,1
2707515,"Peanuts, roasted, salted",28.03,52.5,15.26,599,0,1.45,0,4.18,9.4,61,176,397,726,320,3.28,0.533,0,0,0.8,0.085,0.089,0,0,0,0,0,0,1
2707516,"Peanuts, roasted, unsalted",28.03,52.5,15.26,599,0,1.45,0,4.18,9.4,61,176,397,726,6,3.28,0.533,0,0,0.8,0.085,0.089,0,0,0,0,0,0,1
2707528,"Pistachio nuts, salted",20.22,46.98,27.16,576,0,1.78,0,7.43,9.9,103,105,450,967,389,2.25,1.242,12,0,2.9,0.667,0.225,0,15.7,0,0,0,0,1
2707529,"Pistachio nuts, lightly salted",20.32,47.21,27.3,579,0,1.79,0,7.47,9.9,104,105,453,972,198,2.26,1.248,13,0,2.9,0.671,0.226,0,15.7,0,0,0,0,1
2707530,"Pistachio nuts, unsalted",20.42,47.44,27.43,582,0,1.79,0,7.51,10,104,106,455,977,6,2.27,1.254,13,0,2.9,0.674,0.227,0,15.8,0,0,0,0,1
2707531,"Walnuts, excluding honey roasted",14.56,69.74,10.91,730,0,3.14,0,2.61,5.2,88,142,365,424,0,2.76,1.206,1,0,1.3,0.23,0.15,0,1.7,0,0,0,0,1
